,well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,corrected_mni_x,corrected_mni_y,corrected_mni_z,sampleID,probe2label,probe2dist
582,126435075,4194,14,CX,LiG-str,"lingual gyrus, left, striate",112718484,98,108,158,-7.0,-67.0,1.0,-6.14779349060501,-67.7496984321135,-2.23492795837139,H0351_1012,136,0.0
583,126435077,4114,15,CX,AnG-i,"angular gyrus, left, inferior bank of gyrus",112730936,121,65,172,-30.0,-81.0,44.0,-29.500551542589,-81.0976581377527,41.8979213493514,H0351_1012,146,0.0
584,126435079,4193,16,CX,LiG-pest,"lingual gyrus, left, peristriate",112783486,94,128,184,-3.0,-93.0,-19.0,-3.26553034544892,-92.7744264403129,-15.0949229703076,H0351_1012,136,0.0
585,126435089,4238,12,CX,CgGr-i,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",112191357,94,89,138,-3.0,-47.0,20.0,-2.5731789749905802,-44.516420223736894,14.6240027293244,H0351_1012,168,1.0
586,126435091,4194,14,CX,LiG-str,"lingual gyrus, left, striate",112718485,97,106,158,-6.0,-67.0,3.0,-5.273134762302361,-67.8646890271104,-0.24721584890464102,H0351_1012,136,0.0
587,126435093,4193,15,CX,LiG-pest,"lingual gyrus, left, peristriate",112731490,99,124,171,-8.0,-80.0,-15.0,-7.42733219923512,-80.77600785770271,-13.965937466765,H0351_1012,136,0.0
588,126435095,4194,16,CX,LiG-str,"lingual gyrus, left, striate",112783485,92,116,184,-1.0,-93.0,-7.0,0.0559586545242696,-89.6978814121838,-4.64473302361389,H0351_1012,136,1.0
589,126435105,4099,12,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",112191641,132,54,139,-41.0,-48.0,55.0,-35.3386744298014,-45.7903237698576,55.6486706959684,H0351_1012,200,2.2360680103302
590,126435107,4143,14,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",112709131,148,90,161,-57.0,-70.0,19.0,-51.9994107254356,-72.6727163202039,18.769509330801398,H0351_1012,146,0.0
591,126435109,4200,15,CX,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",112731493,106,125,171,-15.0,-80.0,-16.0,-14.3080529098402,-80.80223241024859,-15.4869124099618,H0351_1012,136,0.0
592,126435111,4208,16,CX,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",112783109,126,100,183,-35.0,-92.0,9.0,-31.338094018301803,-94.84464426246141,9.633374996374231,H0351_1012,158,1.0
593,126435121,4106,12,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",112191640,135,56,139,-44.0,-48.0,53.0,-37.9983983540107,-45.1748742935119,53.3287172566154,H0351_1012,200,0.0
594,126435123,4207,14,CX,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",112709132,133,99,161,-42.0,-70.0,10.0,-37.885139624370396,-70.5952950024091,8.95981144375085,H0351_1012,130,1.0
595,126435125,4201,15,CX,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",112731491,120,126,173,-29.0,-82.0,-17.0,-27.620784786743396,-83.74262947304929,-17.4836939316403,H0351_1012,162,0.0
596,126435127,4208,16,CX,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",112783110,123,103,182,-32.0,-91.0,6.0,-26.6683221575135,-93.8548311425358,7.6474843925711395,H0351_1012,130,1.0
597,126435137,4099,12,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",112191642,131,57,139,-40.0,-48.0,52.0,-34.8299121873632,-46.1672034514902,52.35358470063561,H0351_1012,200,2.0
600,126435143,4186,17,CX,Cun-pest,"cuneus, left, peristriate",112784702,96,99,190,-5.0,-99.0,10.0,-3.7328394583196096,-97.08735344840109,9.715317113706721,H0351_1012,116,1.0
601,126435153,4098,14,CX,SPL-s,"superior parietal lobule, left, superior bank of gyrus",112725871,109,39,159,-18.0,-68.0,70.0,-17.958648140053302,-69.2768707850224,67.8580556992969,H0351_1012,200,3.0
602,126435155,4200,14,CX,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",112797082,127,116,160,-36.0,-69.0,-7.0,-34.6802669646431,-72.5464096315326,-10.654359906202199,H0351_1012,162,2.0
603,126435157,4207,15,CX,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",112731339,136,89,174,-45.0,-83.0,20.0,-39.7740028673427,-86.2413657239177,20.6538659580462,H0351_1012,146,0.0
604,126435159,4214,17,CX,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",112784657,105,93,190,-14.0,-99.0,16.0,-12.581398881816002,-98.25544805843978,16.463104694045903,H0351_1012,158,1.73205077648163
605,126435708,4149,8,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",1407819,129,149,98,-38.0,-7.0,-40.0,-37.9480408471783,-8.67265870283438,-38.4879796935311,H0351_1012,134,0.0
606,126435710,4160,12,CX,FuG-cos,"fusiform gyrus, left, bank of cos",112191597,121,117,138,-30.0,-47.0,-8.0,-29.342051955036503,-47.98847826944451,-7.757996579925151,H0351_1012,124,0.0
607,126435712,4270,10,CX,LIG,"long insular gyri, left",113796448,145,93,117,-54.0,-26.0,16.0,-49.2399918628858,-27.192695048603802,19.8399983110625,H0351_1012,176,1.0
613,126435726,4238,12,CX,CgGr-i,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",113354940,108,108,138,-17.0,-47.0,1.0,-16.7096353869074,-47.889706258191204,-2.2613777821417402,H0351_1012,136,0.0
614,126435728,4244,10,CX,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",111793984,113,125,117,-22.0,-26.0,-16.0,-22.553237222027803,-25.261567822996604,-15.1715391741751,H0351_1012,172,0.0
618,126435736,4244,9,CX,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",1408329,112,134,109,-21.0,-18.0,-25.0,-21.5427913790125,-18.5672915010268,-25.3845339172787,H0351_1012,172,0.0
619,126435740,4106,12,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",112191640,134,56,139,-43.0,-48.0,53.0,-37.157123442488,-45.4186919671424,53.3421651948087,H0351_1012,200,0.0
620,126435742,4186,15,CX,Cun-pest,"cuneus, left, peristriate",112731693,94,87,171,-3.0,-80.0,22.0,-2.34067042362152,-76.5832028178091,19.9560785828123,H0351_1012,116,0.0
625,126435756,4244,8,CX,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",1407839,105,138,98,-14.0,-7.0,-29.0,-14.594936381493302,-6.72013642571472,-29.2020546487287,H0351_1012,172,2.2360680103302
