"well_id","structure_id","slab_num","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z","corrected_mni_x","corrected_mni_y","corrected_mni_z","sampleID","probe2label","probe2dist"
307,4046,8,"CX","orIFG","inferior frontal gyrus, orbital part, right",27961,59,98,48,37,31.2,-12.1,38.6911070379291,33.206632711017,-19.061508453723,"H0351_2001",179,0
313,4117,26,"CX","AnG-i","angular gyrus, right, inferior bank of gyrus",36893,39,74,143,55.7,-61,32.5,56.4075999055034,-56.297630837225,27.4558708875289,"H0351_2001",107,0
314,4196,26,"CX","LiG-pest","lingual gyrus, right, peristriate",36907,85,100,139,7,-65.3,3,10.2914867053275,-67.708176791334,-2.80812673179283,"H0351_2001",135,0
315,4227,8,"CX","CgGf-i","cingulate gyrus, frontal part, right, inferior bank of gyrus",27945,88,99,46,6.4,32.3,-14.2,7.61245952168461,35.2227111918671,-20.9971014727873,"H0351_2001",125,0
321,4116,26,"CX","AnG-s","angular gyrus, right, superior bank of gyrus",36892,49,63,141,45.3,-56.1,43.6,44.1929651161541,-55.1251907281457,40.0687259183555,"H0351_2001",107,2.44948983192444
322,4193,26,"CX","LiG-pest","lingual gyrus, left, peristriate",36909,98,106,139,-6.7,-67.3,-3.7,-6.88892424915218,-68.6688115693501,-7.82079298193172,"H0351_2001",136,1
323,4224,8,"CX","CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",27946,101,92,42,-7.2,38.2,-7.8,-6.94794206892496,40.983611004889,-13.103264287181,"H0351_2001",142,0
329,4130,26,"CX","PCLp-l","paracentral lobule, posterior part, right, lateral bank of gyrus",36825,84,33,139,8.6,-46.4,74.6,8.88952704922301,-44.8434527359693,68.6326266725518,"H0351_2001",169,0
331,4052,8,"CX","MOrG","medial orbital gyrus, right",27943,81,106,45,13.7,31.6,-21.7,13.2282115296997,34.9270620539757,-26.5820406864845,"H0351_2001",147,1
337,4130,26,"CX","PCLp-l","paracentral lobule, posterior part, right, lateral bank of gyrus",36825,83,33,139,9.7,-46.4,74.6,9.97456547557323,-44.873800427771,69.1734371427967,"H0351_2001",169,0
338,4027,8,"CX","SFG-l","superior frontal gyrus, right, lateral bank of gyrus",27916,73,62,37,22.7,52.5,23.9,18.7049129238104,55.1926804943992,17.7217946717943,"H0351_2001",191,2.2360680103302
339,4049,8,"CX","GRe","gyrus rectus, right",27944,85,107,45,9.5,31.2,-22.9,9.19664290481057,33.0940640816873,-27.513326519647,"H0351_2001",147,1.41421353816986
345,4073,26,"CX","PCLa-s","paracentral lobule, anterior part, left, superior bank of gyrus",36827,98,47,129,-6,-40.2,57.4,-5.41573303385599,-37.9181126401635,52.264065140072,"H0351_2001",152,1
346,4026,8,"CX","SFG-m","superior frontal gyrus, right, medial bank of gyrus",27968,88,57,45,6.7,45.2,30.5,5.35043998111927,45.9752883818894,26.8032139230676,"H0351_2001",153,1
347,4048,8,"CX","GRe","gyrus rectus, left",27947,102,106,46,-8.5,30,-22,-8.07626972936927,30.6482511251974,-24.7153127196236,"H0351_2001",126,0
353,4131,26,"CX","PCLp-cs","paracentral lobule, posterior part, right, bank of cingulate sulcus",36850,82,63,136,10.6,-51.7,42,10.614333944011,-51.9700467827417,34.4294769317034,"H0351_2001",169,0
354,4026,8,"CX","SFG-m","superior frontal gyrus, right, medial bank of gyrus",27968,86,57,45,8.8,45.3,30.6,7.10469767919034,46.4889454519241,27.3813066156742,"H0351_2001",153,1.41421353816986
355,4060,8,"CX","LOrG","lateral orbital gyrus, left",27939,124,95,45,-31.6,33.6,-10.9,-29.7763330008723,35.895740487869,-16.9024772207752,"H0351_2001",180,0
361,4121,26,"CX","Pcu-i","precuneus, left, inferior lateral bank of gyrus",36851,95,64,134,-3.1,-50.2,40.3,-3.48486298152253,-48.5226741084184,35.3203420921023,"H0351_2001",170,0
362,4023,8,"CX","SFG-m","superior frontal gyrus, left, medial bank of gyrus",28050,94,55,46,0.4,44.6,32.7,-0.591419775580729,46.0199119713436,27.9292695861294,"H0351_2001",154,1.41421353816986
363,4039,8,"CX","trIFG","inferior frontal gyrus, triangular part, left",27931,134,86,45,-42.1,35.9,-1.4,-40.645621729761,36.5747344464196,-6.96343240172561,"H0351_2001",166,2.2360680103302
369,4139,26,"CX","STG-i","superior temporal gyrus, right, inferior bank of gyrus",27986,56,98,146,37.5,-71.3,7.1,39.5289257819411,-71.3030022148073,3.64340739681634,"H0351_2001",129,2.2360680103302
